index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
1,1,"բուսաբուծություն ու անասնաբուծություն, որսորդություն և հարակից ծառայություններ",Argentina,5638.9,4978.4,12504.2,12504.2,3975.1,3505.5,3519.5,2940.9,1792,2590.4,747.1,971.3,42.7,42.7,3505.9,3505.9,190.2,190.2,835.3,835.3
2,1,"բուսաբուծություն ու անասնաբուծություն, որսորդություն և հարակից ծառայություններ",Lebanon,,,,,,,,,,,18.5,33.9,4.7,4.7,19.2,19.2,28,28,33.8,33.8
3,1,"բուսաբուծություն ու անասնաբուծություն, որսորդություն և հարակից ծառայություններ",Russian Federation,157.5,176.3,8.3,,130,5,10.4,,35.1,12.4,310.4,304.9,181.7,182.5,263.5,238,178.2,190.8,437.2,437.2
4,3,ձկնորսություն և ձկնաբուծություն,Russian Federation,,,,,,,,,,,122.9,122.9,28.2,28.2,209.2,209.2,45.5,45.5,52.2,52.2
5,7,մետաղական  հանքաքարի արդյյունահանում,"Virgin Islands, British",275.6,275.6,,,,,,,,,,,,,,,,,1496.4,1496.4
6,7,մետաղական  հանքաքարի արդյյունահանում,Cyprus,52451.6,,1444.9,,946.4,,9593.2,,940.7,,,,,,,,3185.7,3185.7,33171.7,37119.7
7,7,մետաղական  հանքաքարի արդյյունահանում,Georgia,,,,,,,,,,,,,,,,,,,203.6,
8,7,մետաղական  հանքաքարի արդյյունահանում,Germany,,,,,,,,,,,,,37229.7,3042.1,55033.8,41062.4,,,,
9,7,մետաղական  հանքաքարի արդյյունահանում,Netherlands,1406.7,794.8,132.5,,16739.4,1430.5,12262.9,2994.5,13230.1,2938.5,1111,1601,21027.6,21520.4,4427.7,6136.6,24856.9,21485.7,16107.6,16107.6
10,7,մետաղական  հանքաքարի արդյյունահանում,Russian Federation,,,3006.8,3006.8,16415,16415,1.2,1.2,3140.5,3100,497.4,,2659.5,210.9,23137.5,9404,67032.5,64975.2,3839,7630.8
11,7,մետաղական  հանքաքարի արդյյունահանում,Singapore,,,,,,,,,,,,,,,,,,,16736.5,
12,7,մետաղական  հանքաքարի արդյյունահանում,United Kingdom,,,,,,,,,,,,,,,,,,,33,
13,7,մետաղական  հանքաքարի արդյյունահանում,Other countries,,,,,,,,,,,,,,,,,,,17029.1,
14,8,հանքագործական արդյունաբերության և բացահանքերի շահագործման այլ ճյուղեր,Croatia,31.8,,43.1,,74,,8.2,,152.2,6.1,35.1,35.1,2.1,2.1,61.3,61.3,2.8,2.8,5.7,5.7
15,8,հանքագործական արդյունաբերության և բացահանքերի շահագործման այլ ճյուղեր,Cyprus,177.2,,8.2,59.3,,,,,,,,,,,,,,,,
16,8,հանքագործական արդյունաբերության և բացահանքերի շահագործման այլ ճյուղեր,Germany,5475.4,12299.9,12300.7,15765.6,15003.5,7333.1,354.6,10968.3,35562.2,11109.1,10934.5,2176,,,,,,,,
17,8,հանքագործական արդյունաբերության և բացահանքերի շահագործման այլ ճյուղեր,Netherlands,2.7,14.5,,,,,,,,,,,,,,,,,,
18,8,հանքագործական արդյունաբերության և բացահանքերի շահագործման այլ ճյուղեր,Russian Federation,,,,,4449.7,14.6,2319.2,2141.4,570.3,16.2,2699.5,2.1,32.5,32.5,1817.8,1030.4,456.7,581.5,216.1,537.4
19,8,հանքագործական արդյունաբերության և բացահանքերի շահագործման այլ ճյուղեր,Switzerland,5596.6,4774.4,43650.8,42167,385.4,,,,,,,,,,,,,,,
