,type_of_activity,code,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
0,Rental and leasing activities,77,0.0,0.0,0.0,0.0,746.1,582.3,65.6,66.5,19.2,0.0,4.7,4.7,20.5,16.1,67.6,67.6,12.899999999999999,7.1,58.7,58.7
1,accommodation,55,4503.2,3531.1000000000004,7749.4,4959.7,38188.799999999996,36850.49999999999,7414.000000000001,3041.6,5581.299999999999,5233.199999999999,6596.4,5246.200000000001,3706.2,2423.8,7761.1,7551.6,3908.2000000000007,4288.1,7964.999999999999,5599.7
2,activities auxiliary to financial services and insurance activities,66,73.30000000000001,73.30000000000001,109.5,109.5,48.3,48.3,0.0,0.0,0.0,0.0,129.3,129.3,0.0,0.0,14.0,14.0,9.3,9.3,156.6,156.6
3,activities of head offices: management consultancy activities,70,10.0,10.0,7.6,7.6,381.7,98.80000000000001,10.7,9.3,15.1,6.4,2.6,2.6,0.4,0.4,20.7,12.100000000000001,131.0,131.0,3.2,3.2
4,activities of membership organisations,94,0.0,0.0,5.0,5.0,14.0,14.0,13.9,13.9,1.9,1.9,2.2,2.2,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0
5,air transport,51,17809.0,97.7,34550.3,0.0,8775.8,135.5,7831.6,271.9,14020.1,872.4,1137.1,9153.9,16514.4,11315.0,20396.7,20201.2,14463.9,17346.2,28166.9,28629.6
6,civil engineering,42,0.0,0.0,0.0,0.0,361.3,225.2,211.3,222.7,743.2,667.3,799.9,804.2,529.4,359.9,6936.7,6682.6,33.2,57.5,668.2,668.2
7,"computer programming, consultancy and related activities",62,6375.900000000001,6375.900000000001,4506.8,4577.599999999999,1753.8000000000002,1753.8000000000002,1214.0,1214.0,2003.4,2003.4,62.6,245.9,1170.8999999999999,933.4,1680.5,1735.0,2017.3,1996.2,2139.9,2123.3
8,construction of buildings,41,27941.1,6501.3,27097.500000000004,799.0,9046.1,0.0,1820.6,89.6,2369.0,2262.8,904.5999999999999,828.0,936.3000000000001,936.3000000000001,1067.1,1064.5,903.1999999999999,902.0999999999999,6844.6,6835.5
9,"crop and animal production, hunting and related service activities ",1,5796.4,5154.7,12512.5,12504.2,4105.1,3510.5,3529.9,2940.9,1827.1,2602.8,1076.0,1310.1,229.1,229.9,3788.6,3763.1,396.4,409.0,1306.3,1306.3
